model,artifact,severity,n_records,feature_dim,features_path,feature_redundancy_mean,feature_redundancy_std,feature_redundancy_global,feature_redundancy_batches,centroid_inequity_mean,centroid_inequity_std,centroid_inequity_global,centroid_inequity_batches,prediction_inequity_norm,prediction_inequity_raw,prediction_entropy,mean_probability_mass,prediction_inequity_global_norm,prediction_inequity_global_raw,prediction_share_entropy_global,mean_probability_mass_global,prediction_binary_entropy_global,prediction_binary_entropy_norm_global
jepa,physionet_in,physionet_in_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_in\physionet_in_Sev1\features.npy,58.826027348671225,12.371309357816385,38.393298019270574,1378,0.4658459192696088,0.066626647384709,0.4468843340873718,1378,0.0935942843551219,0.2849498987618353,2.759572538961588,5.732221197641596,0.0935942843551219,0.2849498987618353,2.759572538961588,5.732221197641596,0.3308961634364967,0.4773822540390177
jepa,physionet_in,physionet_in_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_in\physionet_in_Sev2\features.npy,69.44230385787866,18.11497094132058,47.35542773902045,1378,0.3419168174526342,0.0583872690864997,0.3280126452445984,1378,0.0804362710916183,0.244890032145236,2.799632405578187,7.345676010803353,0.0804362710916183,0.244890032145236,2.799632405578187,7.345676010803353,0.4204171813943777,0.6065337827021845
jepa,physionet_in,physionet_in_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_in\physionet_in_Sev3\features.npy,83.57037846277991,27.03809824334758,67.51242188786833,1378,0.2989940285596169,0.0382117062232928,0.2881545424461365,1378,0.0769361631281189,0.2342338749159074,2.810288562807516,7.660209106503501,0.0769361631281189,0.2342338749159074,2.810288562807516,7.660209106503501,0.4557350322861879,0.657486671038655
jepa,physionet_ma,physionet_ma_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_ma\physionet_ma_Sev1\features.npy,52.97947672003587,10.991173776146024,33.5266702753504,1378,0.5501694472936484,0.0640996162793107,0.5295571088790894,1378,0.0983021454218204,0.2992830874130834,2.74523935031034,4.980168968937685,0.0983021454218204,0.2992830874130834,2.74523935031034,4.980168968937685,0.2727849860313019,0.3935455465763244
jepa,physionet_ma,physionet_ma_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_ma\physionet_ma_Sev2\features.npy,55.74445106736217,11.731061847884584,36.48142339347714,1378,0.4663418477349773,0.06094840104299,0.4498543739318847,1378,0.1033909897402172,0.3147761881225235,2.7297462496008995,6.279155657494279,0.1033909897402172,0.3147761881225235,2.7297462496008995,6.279155657494279,0.3294819896806188,0.4753420325744574
jepa,physionet_ma,physionet_ma_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\jepa\physionet_ma\physionet_ma_Sev3\features.npy,64.84135043101483,13.169050653536177,45.594979208171885,1378,0.3953849661592475,0.0447730453112794,0.3854897022247314,1378,0.0959712408189846,0.2921865960495569,2.752335841673866,7.163737052171827,0.0959712408189846,0.2921865960495569,2.752335841673866,7.163737052171827,0.3871072872146505,0.558477763556556
st-mem,physionet_clean,physionet_clean,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_clean\physionet_clean\features.npy,43.84716329796702,9.506241529487658,29.29110037426857,1378,0.7537049076726717,0.080845003609162,0.7711636424064636,1378,0.0668525301122877,0.2035340279454409,2.840988409777982,2.781524640150084,0.0668525301122877,0.2035340279454409,2.840988409777982,2.781524640150084,0.1796189523863801,0.2591353718575015
st-mem,physionet_dn,physionet_dn_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_dn\physionet_dn_Sev1\features.npy,48.47515292975946,8.158489279453393,32.31555661909665,1378,0.4211700954008172,0.0321493359488266,0.4164853692054748,1378,0.08333317218208,0.253709712515012,2.790812725208411,5.422487495841742,0.08333317218208,0.253709712515012,2.790812725208411,5.422487495841742,0.3838620345737512,0.5537958536650986
st-mem,physionet_dn,physionet_dn_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_dn\physionet_dn_Sev2\features.npy,50.55679127130866,8.728386112661147,34.159853937942586,1378,0.4359960618316694,0.0320048965803545,0.4340111017227173,1378,0.1074295845644073,0.3270717806816439,2.717450657041779,4.938642881460728,0.1074295845644073,0.3270717806816439,2.717450657041779,4.938642881460728,0.3807209070827564,0.5492641646110406
st-mem,physionet_dn,physionet_dn_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_dn\physionet_dn_Sev3\features.npy,68.12169050258049,15.839447140803731,53.63724109844941,1378,0.513077403966159,0.0283888796374061,0.5124703645706177,1378,0.1370736095059106,0.4173236797604835,2.6271987579629394,3.623082013289842,0.1370736095059106,0.4173236797604835,2.6271987579629394,3.623082013289842,0.3350487092607658,0.4833731113067549
